Accountable Manager,Accountable Manager Email,Accountable Manager Phone Number,Address Line 1,Address Line 2,Address Line 3,Agency Email,Agency Name,Agency Phone Number,Cert_No,City,Country ,DBA,DSGN_CODE,Email,Liaison,Liaison Email,Liaison Phone Number,Postal Code,State/Province,Update_Date
"SWAFFORD, BRYAN",,,4701 NE 40TH TERRACE,,,noahg@universityaircenter.com,UNIVERSITY AIR CENTER,3523354681,UYNR952Y,GAINESVILLE,UNITED STATES,,UYNR,noahg@universityaircenter.com,,,,32609,FL,3/2/2026
"SWAIN, JEFF",,,"CARRETERRA SALTILLO MTY KM 13.5, AE","HANGER S06, RAMOS ARIZPE",,,"TURBOTEC, S.A. DE C.V.",,XCEY706Y,SALTILLO,MEXICO,,XCEY,,"JEFF, SWAIN",jjswain@me.com,,25900,CO,3/2/2026
"SWAN, DERMOT",,,"NO. 28, 310 PROVINCIAL HIGHWAY","SHUNMU COMMUNITY, ZHUJIAJIAN SUBDIS",,,BOEING ZHOUSHAN COMPLETION CENTER LIMITED COMPANY,86-5806-3371,5BZY475D,ZHOUSHAN,CHINA,,5BZY,,MAX SU,bin.su@boeingzhoushan.com,,316111,,3/2/2026
"SWANSSON, AARON",,,2525 SANTA ANNA AVENUE,,,,RADIO MASTERS INC,,QRMR290K,DALLAS,UNITED STATES,,QRMR,,"SWANSSON, AARON",aaron@radiomastersinc.com,2143278283,75228,TX,3/2/2026
"SWEENEY, JAMES P.",,,3802 20TH ST NORTH,,,,FARGO JET CENTER LLC,,CTUR016D,FARGO,UNITED STATES,,CTUR,,"CLANCY, MIKE",,7012353600,58102,ND,3/2/2026
"SWEENEY, JAMES P.",,,14801 PIONEER TRAIL,,,,"EXCLUSIVE AEROSPACE, LLC",9529412595,6EXR899B,EDEN PRAIRIE,UNITED STATES,DBA PREMIER JET CENTER,6EXR,,"BIGELOW, WESTON",wbigelow@flypremierjet.com,9526412020,55347,MN,3/2/2026
"SWEITZER, DERRICK LEE",,,701 WILSON POINT ROAD,HANGAR 111,,,JADE AIR LLC,,4JAR590C,BALTIMORE,UNITED STATES,,4JAR,,"SWEITZER, DERRICK",,,21220,MD,3/2/2026
"SZEPAN, MARC",,,"HENG SHI ROAD, NORTH AREA",GUANGZHOU BAIYUN INTERNATIONAL AIRP,,,GUANGZHOU AIRCRAFT MAINTENANCE ENGINEERING COMPANY,,GJPY002L,GUANGZHOU,CHINA,,GJPY,,"YU, YILI",yuyl@gameco.com.cn,,510470,,3/2/2026
"TADOLINI, KENNY A.",,,5075 W. ALASKA PLACE,,,,ROCKY MOUNTAIN HOT AIR LLC,,RYHR519X,DENVER,UNITED STATES,,RYHR,,KENNY ALFREIDO TADOLINI,,3039360292,80219,CO,3/2/2026
"TAFF, CALVIN CHRISTOPHER",,,"HANGAR # 3-C, WILEY POST AIRPORT",,,,CALVIN TAFF ELECTRONICS INC,,IX2R914K,BETHANY,UNITED STATES,,IX2R,,"CHRISTIAN, GARY",gchristian@calvintaff.com,4055702111,73008,OK,3/2/2026
"TAGLIAFERRI, MICHAEL",,,3023 STRAWBERRY POINT ROAD,,,,MARYLAND STATE POLICE  AVIATION COMMAND,,KY1R287K,BALTIMORE,UNITED STATES,,KY1R,,"SHAREK, STEVEN E",steven.sharek@maryland.gov,4102385828,21220,MD,3/2/2026
"TAITANO, THOMAS S",,,1411 AIRPORT RD. SUITE 100,HANGAR 1A,,,BLACK MOUNTAIN AVIATION,,LVBR789X,BOULDER CITY,UNITED STATES,,LVBR,,"TAITANO, THOMAS",tom@bmaviation.net,7022941044,89005,NV,3/2/2026
"TAITANO, THOMAS S III",,,"1 KAHULUI AIRPORT ROAD, HANGAR 110",,,,BLACK MOUNTAIN AVIATION LLC,,LVB2789X,KAHULUI,UNITED STATES,,LVB2,,THOMAS S. TAITANO III,tom@bmaviation.net,7022491044,96732,HI,3/2/2026
"TAITANO, THOMAS S III",,,4196 S. AIRPORT PKWY #52G,,,,BLACK MOUNTAIN AVIATION LLC,7028856670,LVBD789X,SAINT GEORGE,UNITED STATES,,LVBD,,THOMAS S. TAITANO III,tom@bmaviation.net,7022941044,84790,UT,3/2/2026
"TALIAFERRO, MICHAEL DAVID",,,409 WEST HWY.199,,,,FIBERMOD CORPORATION,,FQMR708X,SPRINGTOWN,UNITED STATES,,FQMR,,SAME,,,76082,TX,3/2/2026
"TALO, SONA",,,520 SUPERIOR COMMERCE PT,SUITE 1216,,,G&S TEST SOLTUIONS LLC,,DT3R461L,OVIEDO,UNITED STATES,,DT3R,,SONA TALO,sona@gstestsolutions.com,4074893959,32765,FL,3/2/2026
"TAMBURRINO, MICHAEL AUGUST",,,1545 N. FARMING ROAD,,,mike@lakelandfbo.com,LAKELAND AVIATION OF MINOCQUA INC,7153563891,RN7R687Y,ARBOR VITAE,UNITED STATES,,RN7R,mike@lakelandfbo.com,MICHAEL TAMBURRINO,mike@lakelandfbo.com,7153563891,54568,WI,3/2/2026
"TAN, JECK MIN",,,M.R.O. AVIATION PTE LTD,"62, SELETAR AEROSPACE VIEW",,,M.R.O AVIATION PTE LTD,,8W2Y814C,SINGAPORE,SINGAPORE,,8W2Y,,"CHUA, ALVIN",alvin.chua@aviationhub.asia.asia,,797505,,3/2/2026
"TANG, LIANG",,,HAINAN AIRLINES BASE,MEILAN INTERNATIONAL AIRPORT,,,GRAND CHINA AVIATION MAINTENANCE COMPANY LIMITED,+86-898-69963554,3GCY492C,HAIKOU,CHINA,DBA GCAM,3GCY,,LIN CHONGZHI,chzh-lin@hnair.com,,571126,,3/2/2026
"TANG, YONG SONG",,,19 KAKI BUKIT ROAD 3,EASTPOINT TERRACE,,,S&E CORPORATION PTE. LTD.,,SNEY397E,SINGAPORE,SINGAPORE,,SNEY,,NG CHONG JIN,cjng@se-corporation.com,,415881,,3/2/2026
"TANNER, RICHARD W.",,,1160 BRUSH CREEK RD.,,,,AIRTECH COMPASS SERVICES INC,,SL1R484K,ARGYLE,UNITED STATES,,SL1R,,"TANNER, RICHARD W.",airtechcompass@verizon.net,9403808077,76226,TX,3/2/2026
"TARASCIO, MICHAEL",,,8100 REPUBLIC AIRPORT,,,,VENTURA MOBILE AIRCRAFT SERVICES,,IDDR252K,FARMINGDALE,UNITED STATES,,IDDR,,"TARASCIO, MICHAEL A.",maureen.tarascio@venturajet.com,6317565500,11735,NY,3/2/2026
"TARASCIO, NICHOLAS P.",,,8100 REPUBLIC AIRPORT,,,,VENTURA AVIONICS LLC,,RM6R360W,FARMINGDALE,UNITED STATES,,RM6R,,"TARASCIO, GREGORY",greg.tarascio@ventura.aero_______________________,6317565500,11735,NY,3/2/2026
"TARBET, SEAN",,,15100 40TH AVE NE SUITE 201,,,,GREENPOINT TECHNOLOGIES INC,,1TGR325D,MARYSVILLE,UNITED STATES,,1TGR,,SEAN TARBET,,,98271,WA,3/2/2026
"TARBET, SEAN",,,6955 22ND AVENUE NE #3401,,,,GREENPOINT TECHNOLOGIES INC,8057097708,GTMR365E,MOSES LAKE,UNITED STATES,,GTMR,,SEAN TARBET,sean.tarbet@greenpoint.com,4253759731,98837,WA,3/2/2026
"TARRSON, RONALD",,,109 AVIATION DR.,HANGAR 1,,,"AERO SERVICES CENTER, LLC",,PUVR537X,SANTA FE,UNITED STATES,"DBA AERO SERVICES CENTER
   CENTER - SANTA FE",PUVR,,"TORRES, ART",art@santafeaero.com,5057957900,87507,NM,3/2/2026
"TARUD, CHRISTINE MARIE",,,4089 NW 135TH STREET,,,,AEROTAR INC,,9R9R295C,OPA-LOCKA,UNITED STATES,,9R9R,,"ROMERO, SENYON",sromero@aerotar.com,7863782221,33054,FL,3/2/2026
"TASSI, JEFF",,,2665 N.W. 56TH STREET,HANGAR 54,,,FLORIDA JET CENTER,9544916776,FJKR274K,FT. LAUDERDALE,UNITED STATES,,FJKR,,"TASSI, JEFF",jefft@floridajet.com,9544916776,33309,FL,3/2/2026
"TAVES, LUIZ M",,,6051 NW 153RD STREET,,,precisiontechaero@gmail.com,PRECISION TECH AERO INC,3056038347,1YOR846B,MIAMI LAKES,UNITED STATES,,1YOR,precisiontechaero@gmail.com,"VAZQUEZ, MAICKEL",ivan@ptaero.com,3056038347,33014,FL,3/2/2026
"TAVIO, ORLANDO JOSE",,,1532 NW 89TH COURT,,,orlando@nobaero.com,"NOBEL AEROSPACE, LLC",7865367781,8NAR611C,DORAL,UNITED STATES,,8NAR,orlando@nobaero.com,"PAYAN, ELIAS",qc@nobaero.com,7865367781,33172,FL,3/2/2026
"TAYLOR, BRENDAN",,,4990 SW 52ND STREET,SUITE 207,,btaylor@skycoastaerotech.com,PLASMA AEROSPACE LLC,7544225355,PASR001E,DAVIE,UNITED STATES,,PASR,btaylor@skycoastaerotech.com,BRENDAN TAYLOR,btaylor@skycoastaerotech.com,,33314,FL,3/2/2026
"TAYLOR, DARYL",,,320 AIRBUS WAY,,,,AIRBUS AMERICAS INC,2514394321,YZQR904C,MOBILE,UNITED STATES,,YZQR,,"ROBERTS, DENNIS ""SAHNE""",dennis.roberts@airbus.com,2514349237,36615,AL,3/2/2026
"TAYLOR, KIRK",,,17910 AIRFIELD LANE,,,kirk@coastalskies.com,"COASTAL SKIES MAINTENANCE, LLC",2819931150,TBTR544K,PEARLAND,UNITED STATES,,TBTR,kirk@coastalskies.com,"TAYLOR, KIRK B",kirk@coastalskies.com,2819931150,77581,TX,3/2/2026
"TEIXEIRA, PATRICK",,,16 RUE DES CLAIRIERES,Z.A. DU TAILLIS,,patrick.teixeira@sgs.com,SGS AERONAUTICS,330251729010,5G5Y624D,LES SORINIERES,FRANCE,,5G5Y,patrick.teixeira@sgs.com,"VILLETTE, CHRISTOPHE",christophe.villette@sgs.com,,44840,,3/2/2026
"TEKIN, SASCHA",,,MORSCHHEIMER STR. 15,,,,AIRCRAFT & ENGINE UG,+49 6352 95590,AUEY171E,KIRCHHEIMBOLANDEN,GERMANY,,AUEY,,FIRKEYESUS KEBEDE,fikreyesus@aircraft-engine.de,,67292,,3/2/2026
"TEMPLETON, JAMES N",,,2415 SOUTH SPRESSER STREET,,,,TEMP AIRCRAFT LLC,,1P5R894C,TAYLORVILLE,UNITED STATES,,1P5R,,"JAMES, N. TEMPLETON",,,62568,IL,3/2/2026
"TENNANT, JOSEPH H",,,2755 INTERNATIONAL DRIVE,,,,DUPAGE AEROSPACE CORPORATION,6305132222,SVTR023S,WEST CHICAGO,UNITED STATES,,SVTR,,"TENNANT, JOSEPH H.",,6305132222,60185,IL,3/2/2026
"TEO, HUAT SANG",,,3057 TINGKAT PERUSAHAAN 4A,KAWASAN PERUSAHAAN BEBAS,,chewleong.eng@honeywell.com,HONEYWELL AEROSPACE AVIONICS MALAYSIA SDN. BHD.,604392111,6HMY363B,PERAI,MALAYSIA,,6HMY,chewleong.eng@honeywell.com,"ENG, CHEW LEONG",chewleong.eng@honeywell.com,,13600,,3/2/2026
"TEODORO, ANTONIO",,,"TERMINAL ASUR 1, TERRENOS 1015 Y 10","LADO AIRE DEL AEROPUERTO, AEROPUERT",,,"A&P INTERNATIONAL SERVICES, S.A.P.I. DE C.V.",,APLY173E,CANCUN,MEXICO,"DBA AVIATION INTEGRATED SERVICES
   SERVICES GROUP (AISG)",APLY,,ERNESTO MEDRANO,ernesto.medrano@aisg.aero,,77500,QI,3/2/2026
"TEPLAN , STEFAN",,,DO ROKLI 49,PREDNI KOPANINA,,,AEROTECH S.R.O.,,4E0Y568D,PRAGUE,CZECH REPUBLIC,,4E0Y,,MILOSLAV MATEJU,info@aerotech.cz,,164 00,,3/2/2026
"TERRELL, AMANDA",,,TUBE PROCESSING CORPORATION,604 E LEGRANDE AVE.,,,TUBE PROCESSING CORPORATION,,TOIR932K,INDIANAPOLIS,UNITED STATES,DBA TPC REPAIR STATION,TOIR,,"TERRELL, AMANDA",aterrell@aerofab.com,3177806199,46203,IN,3/2/2026
"TERRY, BRADY N.",,,421 ERNEST LANCASTER DRIVE,,,wingsavionics@yahoo.com,WINGS AVIONICS INC,4795870005,W1NR105O,FAYETTEVILLE,UNITED STATES,,W1NR,wingsavionics@yahoo.com,"TERRY, BRADY N.",wingsavionics@yahoo.com,4795870005,72701,AR,3/2/2026
"TEST, TEST",,,257 HELICOPTER CIRCLE,,,,DRJ TECHNOLOGIES,,QKXR998L,CORONA,UNITED STATES,,QKXR,,"RUSK, JEFF",,9513722870,92878,CA,3/2/2026
"TETREAULT, DAVID",,,34 HUDSON DRIVE,,,,WGI INC,4135699444,WNFR711K,SOUTHWICK,UNITED STATES,"DBA WESTFIELD GAGE COMPANY
   COMPANY OVERHAUL & REPAIR",WNFR,,BRIAN GOSSELIN,bgosselin@wgi.us,4135699444 EXT. 151,01077,MA,3/2/2026
"TEY, CHEE SEONG DAVEN",,,NO 5 TUAS DRIVE 2,,,,TURBINE OVERHAUL SERVICES PTE. LTD.,65-6862-1001,OT3Y748L,SINGAPORE,SINGAPORE,DBA TOS,OT3Y,,MIKE TAN,mike.tan@prattwhitney.com,,638639,,3/2/2026
"THARP, CHRISTOPHER J.",,,4130 A AIRPORT DRIVE,MADERA MUNICIPAL AIRPORT,,,TRANSIERRA TECHNOLOGY,,DD3R445L,MADERA,UNITED STATES,,DD3R,,JOSE SALAZAR,saladbar@comcast.net,,93637,CA,3/2/2026
"THATCH, MICHAEL A",,,3725 ZIP INDUSTRIAL BLVD,,,mthatch@atlantaaviation.com,ECONOSTRIP INC,6789041110,E8SR081N,ATLANTA,UNITED STATES,DBA ATLANTA AVIATION INTERNATIONAL,E8SR,mthatch@atlantaaviation.com,"THATCH,  MICHAEL",mthatch@atlantaaviation.com,6789041110 EXT. 403,30354,GA,3/2/2026
"THEETGE, NORMAN",,,348 SING SING ROAD,,,,CORNING INCORPORATED,,IH1R218K,HORSEHEADS,UNITED STATES,,IH1R,,"THEETGE, NORMAN",theetgend@corning.com,6079746106,14845,NY,3/2/2026
"THEIS, RICHARD J.",,,SOUTHERN WISCONSIN REGIONAL AIRPORT,4710 S COLUMBIA DR,,,HELICOPTER SPECIALTIES INC,,UOHR009X,JANESVILLE,UNITED STATES,,UOHR,,"THEIS, RICK",rick@helicopterspecialties.net,6087581701,53546,WI,3/2/2026
"THEODAT, SCHUMANN",,,3580 SHAW BLVD.,,,,PARKER HANNIFIN CORPORATION,,FI1R140K,NAPLES,UNITED STATES,,FI1R,,"THEODAT, SCHUMANN",schumann.theodat@parker.com,2393041000 EXT. 2296,34117,FL,3/2/2026
"THEVENOT, ERIC",,,319 GAO SHE NORTH ROAD,CHINA (SHANGHAI) PILOT FREE TRADE Z,,,LIEBHERR (CHINA) CO. LTD.,86 21 2033 7808,8LIY809C,SHANGHAI,CHINA,DBA LIEBHERR-AEROSPACE CHINA,8LIY,,"ZHANG, MINGYANG (ERIC)",mingyang.zhang@liebherr.com,,201208,,3/2/2026
"THIELE, BRAD",,,1501 SABOVICH STREET,,,,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC,,IGGR983E,MOJAVE,UNITED STATES,,IGGR,,"FALKENBERG, GLENN",glenn.falkenberg@baesystems.com,6618233403,93501,CA,3/2/2026
"THIESSE, MONTE",,,8135  WEST TANGERINE RD.,,,,SERVICE AERO SOLUTIONS LLC,,4S6R832D,MARANA,UNITED STATES,,4S6R,,MONTE THIESSE,monte@sasbsi.com,,85658,AZ,3/2/2026
"THOMAS, ELAINE",,,1600 10TH STREET SOUTH,SUITES 424,,,MRO AEROSPACE INC,7275464820,4MRR628C,SAFETY HARBOR,UNITED STATES,,4MRR,,"MEYER, MICHAEL M.",mmeyer@mroaerospace.com,7275466898,34695,FL,3/2/2026
"THOMAS, KEVIN",,,400 MAIN STREET,,,,PRATT & WHITNEY EAST HARTFORD REPAIR OPERATIONS,8605655011,WA2R259L,EAST HARTFORD,UNITED STATES,,WA2R,,"BENNETT, WILLIAM JON",william.bennett@prattwhitney.com,8605651891,06118,CT,3/2/2026
"THOMAS, LEANNE",,,AIR INSTRO INC.,5286 KAZUKO COURT,,,AIR INSTRO INC,,A7ER329J,MOORPARK,UNITED STATES,,A7ER,,"THOMAS, LEANNE",lthomas@airinstro.com,8055292022,93021,CA,3/2/2026
"THOMAS, PETER",,,3601 FLAMINGO ROAD,,,,HAMILTON SUNDSTRAND AVIATION SERVICES INC,9545388954,KA4R303M,MIRAMAR,UNITED STATES,"DBA HAMILTON SUNDSTRAND
   WORLDWIDE REPAIR -
   - MIRAMAR",KA4R,,ERIE FRITZ,erie.fritzr@collins.com,9545388901,33027,FL,3/2/2026
"THOMAS, STEPHEN R.",,,11619 ROUTE 76,,,,POPLAR GROVE AIRMOTIVE INC,,YYBR664L,POPLAR GROVE,UNITED STATES,,YYBR,,"THOMAS,  STEPHEN R.",steve@poplargroveairmotive.com,8155442300,61065,IL,3/2/2026
"THOMPSON, ART",,,12906 SW 139 AVENUE,HANGAR 249,,,ASG AEROSPACE LLC,,9A1R325B,MIAMI,UNITED STATES,,9A1R,,,,,33186,FL,3/2/2026
"THOMPSON, PHIL A",,,7934 N. GLEN HARBOR,,,,"FLIGHT TECH REPAIR OF ARIZONA, LLC",8157776006,3LND460B,PHOENIX,UNITED STATES,,3LND,,SANJAY GUPTA,sanjay.hotair@gmail.com,4804090888,85307,AZ,3/2/2026
"THOMPSON, PHIL A",,,11440 DANDAR STREET,,,lindstrand@gmail.com,FLIGHT-TECH REPAIR INC,8157776006,3LNR460B,GALENA,UNITED STATES,,3LNR,lindstrand@gmail.com,PHIL THOMPSON,support@lindstrand.com,8157776006,61036,IL,3/2/2026
"THOMPSON, SUSAN A.",,,101 FREEDOM DRIVE,,,,AVIATION CONTROLS INC,,YNBR921L,INDEPENDENCE,UNITED STATES,DBA PRECISION AVIATION CONTROLS,YNBR,,"THOMPSON, SUSAN A.",sthompson@pac-pag.com,6203318180,67301,KS,3/2/2026
"THOMSON, DAVID",,,8165 S. WALLACE COURT,HANGAR 13,,,"SIERRA NEVADA COMPANY, LLC",3037950604,3SDR529B,ENGLEWOOD,UNITED STATES,,3SDR,,"BAKER,  PHIL",phil.baker@sncorp.com,6033873691,80112,CO,3/2/2026
"THORNE, JOHN",,,1531 EAST CEDAR STREET,,,,PARAMOUNT PANELS INC,,JC3R600L,ONTARIO,UNITED STATES,,JC3R,,"THORNE, JOHN",johnthorne@paramountpanels.com,9099478008 EXT. 225,91761,CA,3/2/2026
"THORPE, ROSS",,,177 PROGRESS PLACE,,,,"GE ENGINE SERVICES, LLC",5138691534,STYR543E,SPRINGDALE,UNITED STATES,,STYR,,DOUGLAS MARINE,doug.marine@geaerospace.com,5138691534,45246,OH,3/2/2026
"TIEMANN, JAMES RUSSELL",,,2415 W. ARKANSAS,,,,"AVIATION POWER SUPPORT, LP.",,AP6R434N,DURANT,UNITED STATES,,AP6R,,JAMES RUSSELL TIEMANN,jtiemann@apsmro.com,5809200535,74701,OK,3/2/2026
"TIENDA, JAVIER",,,1725 BRECKINRIDGE PLAZA,,,javier.tienda@viasat.com,VIASAT INC,6789247867,2VSR110C,DULUTH,UNITED STATES,,2VSR,javier.tienda@viasat.com,JAVIER TIENDA,javier.tienda@viasat.com,6789242558,30096,GA,3/2/2026
"TIFFT, BRUCE",,,11200 E. PINE STREET,,,,THE NORDAM GROUP LLC,,EZ2R812K,TULSA,UNITED STATES,,EZ2R,,"JOHNSON, BARRY",barry.johnson@nordam.com,9188784934,74116,OK,3/2/2026
"TIMBY, DANIEL",,,711 TAYLOR ST.,,,,PARKER HANNIFIN CORPORATION - ELYRIA,,HO5R916M,ELYRIA,UNITED STATES,,HO5R,,"TIMBY, DANIEL",dan.timby@parker.com,4402846221,44035,OH,3/2/2026
"TIMM, ROBERT S",,,6980 LAKE DRIVE,,,,SEAPLANE SERVICES INC,6517924703,L69R251Y,LINO LAKES,UNITED STATES,,L69R,,"TIMM, ROBERT SCOTT",,6517924703,55014,MN,3/2/2026
"TIMMERMAN, ALAN",,,AUSTIN STRAUBEL FIELD,1921 AIRPORT ROAD,,,JET AIR GROUP INC,,MZ2R023L,GREEN BAY,UNITED STATES,,MZ2R,,"RUECHEL,  BRIAN",brianr@jetair.net,9204974900,54313,WI,3/2/2026
"TIMMONS, MARK",,,LONDON LUTON AIRPORT,,,,GKN AEROSPACE SERVICES LIMITED,011+44158273144,A53Y499J,LUTON,UNITED KINGDOM,DBA GKN AEROSPACE- LUTON,A53Y,,"THEOFANIS, GERASIMOS",savio.dias@gknaerospace.com,,LU2 9PQ,ENG,3/2/2026
"TODD, LILLIAN WILSON",,,829 RONALD WOOD ROAD,,,lillian@abaviation.net,AB AVIATION LLC,7705342729,2BKR316R,WINDER,UNITED STATES,,2BKR,lillian@abaviation.net,"TODD, LILLIAN WILSON",lillian@abaviation.net,,30680,GA,3/2/2026
"TODD, RONALD S",,,500 NORTH DRIVE,SUITE 1,,,OCEAN AEROSPACE LLC,,RSTR399E,MELBOURNE,UNITED STATES,,RSTR,,RONALD TODD,rtodd@oceanaerospace.com,4077797009,32934,FL,3/2/2026
"TOIA, ERIC",,,1450 AVIATION ROAD,,,etsmx@etsaviation.net,ETS AVIATION LLC.,8047240459,3JIR719N,TAPPAHANNOCK,UNITED STATES,,3JIR,etsmx@etsaviation.net,ERIC C. TOIA,eric.toia@etsaviation.net,3019257557,22560,VA,3/2/2026
"TOLAR, DON D",,,1 AVIATION LANE,HANGAR 6,,huntergofly@hotmail.com,"SAI FLIGHT SUPPORT, LLC.",8643049112,54SR161D,GREENVILLE,UNITED STATES,DBA HANGAR SIX,54SR,huntergofly@hotmail.com,,,,29607,SC,3/2/2026
"TOLENTINO, CRISTINA",,,16621ARMINTA STREET,,,,CITY OF LOS ANGELES INFORMATION TECHNOLOGY,,VE3D916L,VAN NUYS,UNITED STATES,"DBA CALIFORNIA PUBLIC UTILITIES
   UTILITIES AND TRANSPORTATION
DBA CALIFORNIA PUBLIC UTILITIES
   UTILITIES AND TRANSPORTATION",VE3D,,"BLACKWOOD,  IAIN",iain.blackwood@lacity.org,8187568071,91406,CA,3/2/2026
"TOLMAN, ROBERT",,,11524 MUKILTEO SPEEDWAY,SUITE 204,,,VARTAN USA LLC,,2VPR383D,MUKILTEO,UNITED STATES,,2VPR,,ROBERT TOLMAN,r.tolman@vartan.aero,4253748914,98275,WA,3/2/2026
"TOLSON, JOHN C.",,,5545 NW 15TH AVENUE,,,,SOUTH FLORIDA JET CENTER INC,,EXOR768D,FT. LAUDERDALE,UNITED STATES,,EXOR,,JOHN TOLSON,jtolson@sfjcmx.com,9542990858 EXT. 232,33309,FL,3/2/2026
"TOMLINSON, NEAL R.",,,92 HANGAR WAY,ORMOND BEACH MUNICIPAL AIRPORT,,info@tomlinsonaviation.com,TOMLINSON AVIATION INC,3866760312,T1NR227Y,ORMOND BEACH,UNITED STATES,,T1NR,info@tomlinsonaviation.com,"TOMLINSON,  NEAL R.",info@tomlinsonaviation.com,3866760312,32174,FL,3/2/2026
"TOMPKINS, STEVEN COLLINS",,,2160 WEST CASE ROAD,HANGAR 3,,,THE OHIO STATE UNIVERSITY AIRPORT,6142925653,IKBR028F,COLUMBUS,UNITED STATES,,IKBR,,"TOMPKINS, STEVEN",tompkins.143@osu.edu,6142925135,43235,OH,3/2/2026
"TORRES, GERALD",,,12400 CORPORATE DRIVE,,,,KING AEROSPACE ARKANSAS INC,4793465464,KARR324E,BENTONVILLE,UNITED STATES,,KARR,,GAYLE CARRINGTON,gcarrington@kingaerospace.com,5803895505,72713,AR,3/2/2026
"TORRES, JORGE",,,2202 MELVILLE RD,SUITE C,,,ZULU AEROSPACE SERVICES LLC,,ZM3R930D,PRESCOTT,UNITED STATES,DBA ZULU AVIONICS,ZM3R,,"TORRES, JORGE A.",zuluaero@gmail.com,9549993969,86301,AZ,3/2/2026
"TORRES, JORGE A",,,2202 MELVILLE ROAD,SUITE C,,zuluaero@gmail.com,ZULU AEROSPACE SERVICES LLC,9542604237,1ZUR451D,PRESCOTT,UNITED STATES,,1ZUR,zuluaero@gmail.com,JORGE A TORRES,zuluaero@gmail.com,9549993969,86301,AZ,3/2/2026
"TORRESDAL, KEVIN",,,427 HILLCREST WAY,,,davtroninc@gmail.com,DAVTRON INC,6503691188,D9QR836X,REDWOOD CITY,UNITED STATES,,D9QR,davtroninc@gmail.com,"TORRESDAL, KEVIN",davtroninc@gmail.com,6503691188,94062,CA,3/2/2026
"TRAMPER, WILLIAM",,,9130 VINTON AVE. NW,,,williamt@azimuthaero.com,TRAMPER AVIONICS INC,6165813539,TRAR606E,SPARTA,UNITED STATES,,TRAR,williamt@azimuthaero.com,WILLIAM TRAMPER,williamt@azimuthaero.com,6165813539,49345,MI,3/2/2026
"TRAN, DANG HAI",,,"LOT 43A, QUANG MINH INDUSTRIAL ZONE",ME LINH,,,AEROSPACE ENGINEERING SERVICES JOINT STOCK COMPANY,,3VOY539C,HANOI,VIETNAM,DBA AESC,3VOY,,MR. TA HOANG DUNG (LOUIS),dung.tahoang@aesc.com.vn,,10000,,3/2/2026
"TRAN, DANG HAI",,,NHON TRACH 3 INDUSTRIAL ZONE,"PHUOC TOWN, NHON TRACH DISTRICT",,,AEROSPACE ENGINEERING SERVICES (SOUTHERN) JSC,,3VHY491D,DONG NAI PROVINCE,VIETNAM,DBA AESC SOUTHERN,3VHY,,MR. TA HOANG DUNG,dung.tahoang@aesc.com.vn,,700000,,3/2/2026
"TRAN, KATHY",,,10524 LACIENEGA BLVD.,,,,ENGINEERED MAGNETICS INC,,EN5R518Y,"INGLEWOOD,",UNITED STATES,DBA NONE,EN5R,,"TRAN, KATHY",kathy@engineeredmagnetics.net,3106499000,90304,CA,3/2/2026
"TRAPP, ROMAIN",,,AEROPORT INTERNATIONAL MARSEILLE PR,,,,AIRBUS HELICOPTERS,,E0OY135X,MARIGNANE,FRANCE,,E0OY,,ELODIE CARMONA,elodie.carmona@airbus.com,,13725,,3/2/2026
"TRAY, ABRAHAM J.",,,4007 AIRPORT ROAD,HANGAR 5000,,,ALPHA GURU AVIATION MAINTENANCE INC,,S4AR551E,PLANT CITY,UNITED STATES,DBA SKY ADDICT AVIATION,S4AR,,CHARLIE KESSLER,ck@airfuga.com,,33563,FL,3/2/2026
"TREMBLAY, MARTIN",,,7988 ANDREWS STREET NE,BUILDING 2110,,,AEROTEC INC,,4T1R174D,MOSES LAKE,UNITED STATES,,4T1R,,RICK MIGLIACIO,rmigliacio@aerotec.com,5097621000,98837,WA,3/2/2026
"TRETTER, MATTHEW",,,140 CALIBER RIDGE DRIVE,,,,ELECTRO-VOICE DYNACORD LLC.,8643343700,8BSR413B,GREER,UNITED STATES,,8BSR,,MATHEW TRETTER,matt.tretter@us.bosch.com,8643343626,29651,SC,3/2/2026
"TRIBIOLI, RAFFAELLO",,,"31, VIA P.L. SAGRAMOSO",,,,GELBYSON S.R.L.,3906363047,9G1Y770C,ROME,ITALY,,9G1Y,,"RAFFAELLO, TRIBIOLI",quality@gelbyson.com,3906363047,00135,,3/2/2026
"TRIPATHI, MAYANK",,,168 TOUHY COURT,,,mtripathi@ustaviation.com,U S TECHNICIANS INC,8472998444,UXYR075Y,DES PLAINES,UNITED STATES,,UXYR,mtripathi@ustaviation.com,"MAYANK, TRIPATHI",,8472998444,60018,IL,3/2/2026
"TRNKA, JAN",,,AIRPORT PRIBRAM,DRASOV 201,,jan.trnka@ok-aviation.cz,OK AVIATION SERVICE S.R.O.,+420-318-690-644,10KY405D,PRIBRAM,CZECH REPUBLIC,DBA OK AVIATION SERVICE,10KY,jan.trnka@ok-aviation.cz,ROBERT JANECEK,robert.janecek@ok-aviatiion.cz,,261 01,,3/2/2026
